name,address,city,state,zip,country,phone,website,services
Premium Men's Health Clinic,123 Main St,Austin,TX,78701,USA,(512) 555-1234,https://premium-mens-health.com,"TRT,ED Treatment,Weight Management"
Elite Male Medical,456 Broadway Ave,New York,NY,10013,USA,212-555-6789,elitemalemedical.com,"TRT,Peptide Therapy,Sexual Health"
Total Men's Health,789 Wilshire Blvd,Los Angeles,CA,90017,USA,323-555-4321,https://totalmensclinic.com,"TRT,Hair Loss,ED Treatment,Hormone Optimization"
Ageless Men's Health,101 Pine St,Seattle,WA,98101,USA,206-555-7890,agelessmens.com,"TRT,ED Treatment,Weight Loss"
Boston Men's Health Center,202 Beacon St,Boston,MA,02116,USA,617-555-2345,bostonmenshealth.com,"Hormone Therapy,ED Treatment,Peptides"
Phoenix Men's Clinic,303 Camelback Rd,Phoenix,AZ,85013,USA,480-555-3456,phoenixmensclinic.com,"TRT,Sexual Health,Hair Restoration"
Chicago Male Medical Group,404 Michigan Ave,Chicago,IL,60611,USA,312-555-5678,chicagomalemedical.com,"Testosterone Therapy,ED Treatment,Platelet-Rich Plasma"
Miami Hormone Institute,505 Collins Ave,Miami,FL,33139,USA,305-555-8901,miamihormone.com,"Hormone Optimization,Peptide Therapy,Sexual Health"
Denver Men's Health Clinic,606 16th St,Denver,CO,80202,USA,720-555-1122,denvermensclinic.net,"Testosterone Replacement,Sexual Health,Weight Management"
Atlanta Male Performance,707 Peachtree St,Atlanta,GA,30308,USA,404-555-3344,atlantamale.com,"ED Treatment,Hormone Therapy,Weight Loss"